,yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam
1753,1991.0,54.0,2.0,27.0,Marcus Kennedy,POR,Eastern Michigan,College/University,83593.0,1610612757.0,Portland Trail Blazers
1754,1990.0,1.0,1.0,1.0,Derrick Coleman,NJN,Syracuse,College/University,934.0,1610612751.0,New Jersey Nets
1755,1990.0,2.0,1.0,2.0,Gary Payton,SEA,Oregon State,College/University,56.0,1610612760.0,Seattle SuperSonics
1756,1990.0,3.0,1.0,3.0,Mahmoud Abdul-Rauf,DEN,Louisiana State,College/University,51.0,1610612743.0,Denver Nuggets
1757,1990.0,4.0,1.0,4.0,Dennis Scott,ORL,Georgia Tech,College/University,192.0,1610612753.0,Orlando Magic
1758,1990.0,5.0,1.0,5.0,Kendall Gill,CHH,Illinois,College/University,383.0,1610612766.0,Charlotte Hornets
1759,1990.0,6.0,1.0,6.0,Felton Spencer,MIN,Louisville,College/University,280.0,1610612750.0,Minnesota Timberwolves
1760,1990.0,7.0,1.0,7.0,Lionel Simmons,SAC,La Salle,College/University,1489.0,1610612758.0,Sacramento Kings
1761,1990.0,8.0,1.0,8.0,Bo Kimble,LAC,Loyola-Marymount,College/University,77260.0,1610612746.0,Los Angeles Clippers
1762,1990.0,9.0,1.0,9.0,Willie Burton,MIA,Minnesota,College/University,416.0,1610612748.0,Miami Heat
1763,1990.0,10.0,1.0,10.0,Rumeal Robinson,ATL,Michigan,College/University,716.0,1610612737.0,Atlanta Hawks
1764,1990.0,11.0,1.0,11.0,Tyrone Hill,GOS,Xavier,College/University,238.0,1610612744.0,Golden State Warriors
1765,1990.0,12.0,1.0,12.0,Alec Kessler,HOU,Georgia,College/University,77251.0,1610612745.0,Houston Rockets
1766,1990.0,13.0,1.0,13.0,Loy Vaught,LAC,Michigan,College/University,919.0,1610612746.0,Los Angeles Clippers
1767,1990.0,14.0,1.0,14.0,Travis Mays,SAC,Texas,College/University,77496.0,1610612758.0,Sacramento Kings
1768,1990.0,15.0,1.0,15.0,Dave Jamerson,MIA,Ohio,College/University,77114.0,1610612748.0,Miami Heat
1769,1990.0,16.0,1.0,16.0,Terry Mills,MIL,Michigan,College/University,371.0,1610612749.0,Milwaukee Bucks
1770,1990.0,17.0,1.0,17.0,Jerrod Mustaf,NYK,Maryland,College/University,1054.0,1610612752.0,New York Knicks
1771,1990.0,18.0,1.0,18.0,Duane Causwell,SAC,Temple,College/University,190.0,1610612758.0,Sacramento Kings
1772,1990.0,19.0,1.0,19.0,Dee Brown,BOS,Jacksonville,College/University,244.0,1610612738.0,Boston Celtics
1773,1990.0,20.0,1.0,20.0,Gerald Glass,MIN,Mississippi,College/University,76821.0,1610612750.0,Minnesota Timberwolves
1774,1990.0,21.0,1.0,21.0,Jayson Williams,PHX,St. John's (NY),College/University,420.0,1610612756.0,Phoenix Suns
1775,1990.0,22.0,1.0,22.0,Tate George,NJN,Connecticut,College/University,76801.0,1610612751.0,New Jersey Nets
1776,1990.0,23.0,1.0,23.0,Anthony Bonner,SAC,Saint Louis,College/University,41.0,1610612758.0,Sacramento Kings
1777,1990.0,24.0,1.0,24.0,Dwayne Schintzius,SAN,Florida,College/University,368.0,1610612759.0,San Antonio Spurs
1778,1990.0,25.0,1.0,25.0,Alaa Abdelnaby,POR,Duke,College/University,76001.0,1610612757.0,Portland Trail Blazers
1779,1990.0,26.0,1.0,26.0,Lance Blanks,DET,Texas,College/University,76183.0,1610612765.0,Detroit Pistons
1780,1990.0,27.0,1.0,27.0,Elden Campbell,LAL,Clemson,College/University,922.0,1610612747.0,Los Angeles Lakers
1781,1990.0,28.0,2.0,1.0,Les Jepsen,GOS,Iowa,College/University,77129.0,1610612744.0,Golden State Warriors
